study_id,cmoc_id,study_title,year,doi,source_id,source_text_path,evidence_level,source_text_length,model_pts,model_polarity,model_context_code,model_context_text,model_intervention_code,model_intervention_text,model_mechanism_code,model_mechanism_text,model_outcome_code,model_outcome_text,model_relationship_triples,evidence_quote,quote_support_context,quote_support_intervention,quote_support_mechanism,quote_support_outcome,evidence_support_score,human_corrected_context,human_corrected_intervention,human_corrected_mechanism,human_corrected_outcome,human_corrected_triples,human_corrected_pts,decision_status,review_priority,ai_adjudication_confidence,error_category,reviewer_notes
S011,S011_CMOC2,"Bringing Explicit Insight into Cognitive Psychology Features during Clinical Reasoning Seminars: A Prospective, Controlled Study",2011,10.4103/1357-6283.101459,https://pubmed.ncbi.nlm.nih.gov/21710417/,d:\LLM-Knowledge-Graph\graphrag\input\pubmed_21710417.txt,Abstract Only,1992,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[CONSTRAINS]->E45; E45-[LEADS_TO]->E36,C: students in the control group had lower accuracy in diagnosis | I: the overall differences in accuracy of the final diagnosis given to the patient at the end of the encounter were not statistically significant | M: the overall differences in accuracy of the final diagnosis given to the patient at the end of the encounter were not statistically significant | O: the overall differences in accuracy of the final diagnosis given to the patient at the end of the encounter were not statistically significant,not_found,partial_8_word,partial_8_word,partial_8_word,0.644,E05,E14,E45,E36,E14-[CONSTRAINS]->E19; E19-[CONSTRAINS]->E45; E45-[LEADS_TO]->E36,PTS4,AI_DRAFT_REVIEW_REQUIRED_ABSTRACT_ONLY,HIGH,0.875,provisional_evidence_level,"AI-assisted draft, not final human gold. Evidence support 3/4; chain issues: none; predicate aliases normalized: no."
S012,S012_CMOC1,How we created virtual patient cases for primary care-based learning,2011,10.3109/0142159x.2011.544796,EBSCO-FullText-01_02_2026 (7).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (7).pdf.txt,Full-text,24743,PTS3,Positive,E06,students with different levels of knowledge within a group,E10,"real-life scenarios, including simulation and simulated patients",E27,build understanding,E22,positive learning experience,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E22,C: students are multiple users; the average number of attempts at each scenario per student is greater than 1. | I: VP cases can be tailored using decision-making software to give students experience of primary care specific clinical reasoning skills. | M: students may be using the VPs in a formative manner. | O: students found the scenarios useful for developing consulting skills.,exact,exact,exact,partial_8_word,0.938,E06,E10,E27,E22,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E22,PTS5,AI_DRAFT_REVIEW_REQUIRED,MEDIUM,0.828,pts_chain_mismatch; pts_context_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: context:E06_not_in_E04; predicate aliases normalized: no."
S012,S012_CMOC2,How we created virtual patient cases for primary care-based learning,2011,10.3109/0142159x.2011.544796,EBSCO-FullText-01_02_2026 (7).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (7).pdf.txt,Full-text,24743,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E38,negative learning outcomes,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E38,"C: students commented that they found the scenarios useful for developing consulting skills. | I: Feedback was collected on the accessibility, popularity and any perceived disadvantages of each VP case. | M: students expressed confusion about the scenarios. | O: students found the scenarios useful for developing consulting skills.",partial_8_word,exact,not_found,partial_8_word,0.697,E05,E14,E45,E38,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E38,PTS4,AI_DRAFT_ACCEPT_READY_FOR_HUMAN_SIGNOFF,LOW,0.894,none,"AI-assisted draft, not final human gold. Evidence support 3/4; chain issues: none; predicate aliases normalized: no."
S013,S013_CMOC1,The Efficacy of a Targeted Remediation Process for Students Who Fail Standardized Patient Examinations,2011,10.1080/10401334.2010.536749,https://pubmed.ncbi.nlm.nih.gov/21240775/,d:\LLM-Knowledge-Graph\graphrag\input\pubmed_21240775.txt,Abstract Only,1816,PTS4,Negative,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E10,"real-life scenarios, including simulation and simulated patients",E32,fear,E36,poor illness script development,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E32; E32-[LEADS_TO]->E36,"C: students failing standardized patient examinations represent poorly targeted approaches | I: a month-long clinical performance course, targeted to treat specific types of clinical performance deficiencies | M: the mean preintervention clinical data interpretation and standardized patient examination scores were below the criterion referenced passing standard | O: the mean postintervention scores for the participants were above the passing standard for these two examinations",exact,exact,exact,exact,1.0,E02,E10,E32,E36,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E32; E32-[LEADS_TO]->E36,PTS1,AI_DRAFT_REVIEW_REQUIRED_ABSTRACT_ONLY,HIGH,0.85,provisional_evidence_level; pts_chain_mismatch; pts_context_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: context:E02_not_in_E05; predicate aliases normalized: no."
S013,S013_CMOC2,The Efficacy of a Targeted Remediation Process for Students Who Fail Standardized Patient Examinations,2011,10.1080/10401334.2010.536749,https://pubmed.ncbi.nlm.nih.gov/21240775/,d:\LLM-Knowledge-Graph\graphrag\input\pubmed_21240775.txt,Abstract Only,1816,PTS1,Positive,E03,students with high clinical domain-specific knowledge,E13,accurate and timely feedback,E27,build understanding,E25,high diagnostic accuracy,E13-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,C: students who failed a clinical performance examination | I: the purpose is to determine the impact of a specifically targeted clinical performance course | M: the mean postintervention scores for the participants were above the passing standard | O: pre- and postintervention differences were statistically significant in both cases,exact,exact,exact,exact,1.0,E03,E13,E27,E25,E13-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,PTS2,AI_DRAFT_REVIEW_REQUIRED_ABSTRACT_ONLY,HIGH,0.85,provisional_evidence_level; pts_chain_mismatch; pts_context_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: context:E03_not_in_E02, intervention:E13_not_in_E07/E15/E18; predicate aliases normalized: no."
S014,S014_CMOC1,The influence of medical students selfexplanations on diagnostic performance,2011,10.1111/j.1365-2923.2011.03933.x,EBSCO-FullText-01_02_2026 (6).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (6).pdf.txt,Full-text,33212,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,C: students in Year 3 of an undergraduate programme | I: generating self-explanations while solving a clinical case | M: students more actively attempt to make sense of the clinical findings in a case | O: students in the self-explanation condition... demonstrated better diagnostic performance on subsequent clinical cases,exact,exact,partial_8_word,partial_8_word,0.875,E02,E18,E27,E46,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,PTS1,AI_DRAFT_REVIEW_REQUIRED,MEDIUM,0.806,pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: outcome:E46_not_in_E25/E29/E30; predicate aliases normalized: no."
S014,S014_CMOC2,The influence of medical students selfexplanations on diagnostic performance,2011,10.1111/j.1365-2923.2011.03933.x,EBSCO-FullText-01_02_2026 (6).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (6).pdf.txt,Full-text,33212,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,C: students in the control condition... did not generate self-explanations | I: no feedback was provided to students | M: students in the control condition... did not generate self-explanations | O: the performance of the two groups did not differ in the training phase,not_found,exact,not_found,partial_8_word,0.554,E05,E14,E45,E36,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,PTS4,AI_DRAFT_REVIEW_REQUIRED,HIGH,0.844,weak_quote_support,"AI-assisted draft, not final human gold. Evidence support 2/4; chain issues: none; predicate aliases normalized: no."
S015,S015_CMOC1,Preparing medical students for clinical decision making: A pilot study exploring how students make decisions and the perceived impact of a clinical decision making teaching intervention,2012,10.3109/0142159x.2012.670323,EBSCO-FullText-01_02_2026 (9).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (9).pdf.txt,Full-text,45479,PTS3,Positive,E06,students with different levels of knowledge within a group,E10,"real-life scenarios, including simulation and simulated patients",E27,build understanding,E44,successful non-analytical reasoning in the future,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E44,"C: students feel unprepared for clinical decision making as FY1s, and lack effective decision making strategies. | I: Experiencing complex decision making scenarios through individually orientated simulation results in students being subjectively more prepared for work as FY1s. | M: A teaching intervention... appeared to be useful in improving medical students’ decision making. | O: students being subjectively more prepared for work as FY1s.",exact,exact,partial_8_word,exact,0.938,E06,E10,E27,E44,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E44,PTS5,AI_DRAFT_REVIEW_REQUIRED,MEDIUM,0.828,pts_chain_mismatch; pts_context_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: context:E06_not_in_E04, outcome:E44_not_in_E22/E28/E40/E41; predicate aliases normalized: no."
S015,S015_CMOC2,Preparing medical students for clinical decision making: A pilot study exploring how students make decisions and the perceived impact of a clinical decision making teaching intervention,2012,10.3109/0142159x.2012.670323,EBSCO-FullText-01_02_2026 (9).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (9).pdf.txt,Full-text,45479,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[PROVIDES]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,"C: students continue to feel unprepared for the responsibility of clinical decision making. | I: students feel unprepared for clinical decision making as FY1s, and lack effective decision making strategies. | M: students continue to feel unprepared for the responsibility of clinical decision making. | O: students feel unprepared for clinical decision making as FY1s, and lack effective decision making strategies.",exact,exact,exact,exact,1.0,E05,E14,E45,E36,E14-[PROVIDES]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,PTS4,AI_DRAFT_ACCEPT_READY_FOR_HUMAN_SIGNOFF,LOW,0.95,none,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: none; predicate aliases normalized: no."
S016,S016_CMOC1,Reflection as a strategy to foster medical students acquisition of diagnostic competence,2012,10.1111/j.1365-2923.2012.04217.x,EBSCO-FullText-01_02_2026 (4).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (4).pdf.txt,Full-text,40110,PTS3,Positive,E03,students with high clinical domain-specific knowledge,E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,C: 46 Year 4 students diagnosed six clinical cases under different experimental conditions. | I: structured reflection while practising with cases appears to foster the learning of clinical knowledge. | M: reﬂection enriched the illness scripts they had already stored. | O: scores in the reﬂection condition...significantly outperformed those in the other conditions.,partial_8_word,partial_8_word,exact,not_found,0.697,E03,E18,E27,E46,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,PTS2,AI_DRAFT_REVIEW_REQUIRED,MEDIUM,0.744,pts_chain_mismatch; pts_context_mismatch,"AI-assisted draft, not final human gold. Evidence support 3/4; chain issues: context:E03_not_in_E04, intervention:E18_not_in_E09/E10/E11, outcome:E46_not_in_E22/E28/E40/E41; predicate aliases normalized: no."
S016,S016_CMOC2,Reflection as a strategy to foster medical students acquisition of diagnostic competence,2012,10.1111/j.1365-2923.2012.04217.x,EBSCO-FullText-01_02_2026 (4).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (4).pdf.txt,Full-text,40110,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[PROVIDES]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,C: students in the reﬂection condition performed worse than those in the other conditions. | I: structured reflection seems to lead to poorer performance than the other conditions. | M: reﬂection leads to initial confusion given that many different features and diagnoses have been considered in detail. | O: students in the reﬂection condition performed worse than those in the other conditions.,exact,partial_8_word,not_found,exact,0.785,E05,E14,E45,E36,E14-[PROVIDES]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,PTS4,AI_DRAFT_ACCEPT_READY_FOR_HUMAN_SIGNOFF,LOW,0.925,none,"AI-assisted draft, not final human gold. Evidence support 3/4; chain issues: none; predicate aliases normalized: no."
S017,S017_CMOC1,Should we teach using schemas? Evidence from a randomised trial,2012,10.1111/j.1365-2923.2012.04311.x,EBSCO-FullText-01_02_2026 (5).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (5).pdf.txt,Full-text,30254,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E15,explicit and clear explanation of expert's reasoning,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E15-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,C: Year 2 medical students were randomised to learn four cardiac diagnoses using schema-based instruction. | I: Students receiving schema-based instruction performed better on structured knowledge questions. | M: Schemas modified knowledge organisation by increasing the amount of structured knowledge. | O: Schema-based instruction was associated with improved retention of structured knowledge and diagnostic performance among novices.,exact,exact,partial_8_word,partial_8_word,0.875,E02,E15,E27,E46,E15-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,PTS1,AI_DRAFT_REVIEW_REQUIRED,MEDIUM,0.806,pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: outcome:E46_not_in_E25/E29/E30; predicate aliases normalized: no."
S017,S017_CMOC2,Should we teach using schemas? Evidence from a randomised trial,2012,10.1111/j.1365-2923.2012.04311.x,EBSCO-FullText-01_02_2026 (5).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (5).pdf.txt,Full-text,30254,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E08,instructed to use analytical reasoning alone,E45,confusion,E36,poor illness script development,E08-[PROVIDES]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,C: We anticipated lower diagnostic accuracy on untaught lesions among students instructed with schemas. | I: Although reasoning strategy was not directly measured... schema-instructed students were more likely to report features from the schema. | M: Incorrect features may have a derailing effect on diagnostic reasoning. | O: We anticipated lower diagnostic accuracy on untaught lesions among students instructed with schemas.,exact,partial_8_word,exact,exact,0.938,E05,E08,E45,E36,E08-[PROVIDES]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,PTS4,AI_DRAFT_REVIEW_REQUIRED,MEDIUM,0.828,pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: intervention:E08_not_in_E09/E10/E14; predicate aliases normalized: no."
S018,S018_CMOC1,What and how advanced medical students learn,2012,10.1007/s11251-012-9211-z,s11251-012-9211-z.pdf,d:\LLM-Knowledge-Graph\graphrag\input\s11251-012-9211-z.pdf.txt,Full-text,45640,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E10,"real-life scenarios, including simulation and simulated patients",E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E10-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,"C: students explicitly paid attention to variations in enabling conditions and consequences, which led to improvement of these knowledge components. | I: the study reported in this article concerns the questions what and how fourth-year medical students can learn from a series of cases that have a similar underlying problem. | M: students are well able to learn the patterns and variations of enabling conditions and consequences independently. | O: continued and repeated experience with classes of similar cases may result in the integration of biomedical knowledge in clinical knowledge.",exact,exact,partial_8_word,exact,0.938,E02,E10,E27,E46,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,PTS1,AI_DRAFT_REVIEW_REQUIRED,MEDIUM,0.828,pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: intervention:E10_not_in_E07/E15/E18, outcome:E46_not_in_E25/E29/E30; predicate aliases normalized: no."
S018,S018_CMOC2,What and how advanced medical students learn,2012,10.1007/s11251-012-9211-z,s11251-012-9211-z.pdf,d:\LLM-Knowledge-Graph\graphrag\input\s11251-012-9211-z.pdf.txt,Full-text,45640,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,"C: integration of biomedical knowledge into the fault component was, however, hampered by lack of knowledge and by misconceptions that students were unable to debug. | I: the present results do not tell whether students will use resource information to debug a misconception in biomedical knowledge. | M: it is doubtful whether opportunities for impromptu case-based teaching events in the clinical practice are sufficient. | O: the role of the coach is that all participants are active and to prevent cognitive errors from being made.",exact,exact,partial_8_word,exact,0.938,E05,E14,E45,E36,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,PTS4,AI_DRAFT_ACCEPT_READY_FOR_HUMAN_SIGNOFF,LOW,0.95,none,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: none; predicate aliases normalized: no."
S019,S019_CMOC1,evPaeds: undergraduate clinical reasoning,2012,10.1111/j.1743-498X.2011.00523.x,https://pubmed.ncbi.nlm.nih.gov/22587313/,d:\LLM-Knowledge-Graph\graphrag\input\pubmed_22587313.txt,Abstract Only,1596,PTS3,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E10,"real-life scenarios, including simulation and simulated patients",E27,build understanding,E22,positive learning experience,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E22,"C: Our medical students learn clinical reasoning in small group discussion sessions and during their clinical attachments. | I: evPaeds incorporates the Paediatric Decision Tree, which encourages students to make decisions on investigations and management. | M: evPaeds has proven popular with students to practise and develop clinical reasoning. | O: These are popular with students but provide little opportunity for interaction.",exact,exact,exact,exact,1.0,E02,E10,E27,E22,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E22,PTS1,AI_DRAFT_REVIEW_REQUIRED_ABSTRACT_ONLY,HIGH,0.85,provisional_evidence_level; pts_chain_mismatch; pts_context_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: context:E02_not_in_E04; predicate aliases normalized: no."
S019,S019_CMOC2,evPaeds: undergraduate clinical reasoning,2012,10.1111/j.1743-498X.2011.00523.x,https://pubmed.ncbi.nlm.nih.gov/22587313/,d:\LLM-Knowledge-Graph\graphrag\input\pubmed_22587313.txt,Abstract Only,1596,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[CONSTRAINS]->E45; E45-[LEADS_TO]->E36,C: These are popular with students but provide little opportunity for interaction. | I: Close collaboration with students and teachers ensured that evPaeds met the unique learning needs of undergraduate students. | M: These are popular with students but provide little opportunity for interaction. | O: These are popular with students but provide little opportunity for interaction.,exact,exact,exact,exact,1.0,E05,E14,E45,E36,E14-[CONSTRAINS]->E19; E19-[CONSTRAINS]->E45; E45-[LEADS_TO]->E36,PTS4,AI_DRAFT_REVIEW_REQUIRED_ABSTRACT_ONLY,HIGH,0.95,provisional_evidence_level,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: none; predicate aliases normalized: no."
S020,S020_CMOC1,Effect of enhanced analytic reasoning on diagnostic accuracy: A randomized controlled study,2013,10.3109/0142159x.2013.759643,EBSCO-FullText-01_02_2026 (3).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (3).pdf.txt,Full-text,13313,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,C: fourth-year medical students just before attaining the license of medical doctor | I: the analytic reasoning group was requested to list differential diagnoses and findings compatible or not compatible with each diagnosis | M: completing the table forced the consideration of alternative diagnoses and of findings that conflicted with a suspected diagnosis | O: Mean diagnostic accuracy scores were significantly higher in the analytic reasoning group than in the control group,exact,exact,partial_8_word,exact,0.938,E02,E18,E27,E46,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,PTS1,AI_DRAFT_REVIEW_REQUIRED,MEDIUM,0.828,pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: outcome:E46_not_in_E25/E29/E30; predicate aliases normalized: no."
S020,S020_CMOC2,Effect of enhanced analytic reasoning on diagnostic accuracy: A randomized controlled study,2013,10.3109/0142159x.2013.759643,EBSCO-FullText-01_02_2026 (3).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (3).pdf.txt,Full-text,13313,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[CONSTRAINS]->E45; E45-[LEADS_TO]->E36,C: students in the control group provided a diagnosis without these processes | I: the control group provided a diagnosis without these processes | M: students in the control group provided a diagnosis without these processes | O: diagnostic accuracy was significantly lower in the control group than in the analytic reasoning group,partial_8_word,exact,partial_8_word,not_found,0.712,E05,E14,E45,E36,E14-[CONSTRAINS]->E19; E19-[CONSTRAINS]->E45; E45-[LEADS_TO]->E36,PTS4,AI_DRAFT_ACCEPT_READY_FOR_HUMAN_SIGNOFF,LOW,0.899,none,"AI-assisted draft, not final human gold. Evidence support 3/4; chain issues: none; predicate aliases normalized: no."
S021,S021_CMOC1,Students selfexplanations while solving unfamiliar cases: the role of biomedical knowledge,2013,10.1111/medu.12253,EBSCO-FullText-01_02_2026.pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026.pdf.txt,Full-text,38372,PTS5,Positive,E06,students with different levels of knowledge within a group,E17,listen to near-peer think aloud their reasoning with the use of prompts and examples,E39,build upon what they already know,E43,complete illness scripts,E17-[PROVIDES]->E19; E19-[TRIGGERS]->E39; E39-[LEADS_TO]->E43,"C: Lack of familiarity with a case seems to stimulate medical students to engage in more extensive thinking during self-explanation. | I: Self-explanation while solving clinical cases may be an effective strategy to foster reasoning. | M: Less familiar cases seem to activate students’ biomedical knowledge, which in turn helps them to create new links. | O: Self-explanation fosters learning and helps students to create a coherent representation of a case.",partial_8_word,partial_8_word,partial_8_word,partial_8_word,0.75,E06,E17,E39,E43,E17-[PROVIDES]->E19; E19-[TRIGGERS]->E39; E39-[LEADS_TO]->E43,PTS5,AI_DRAFT_ACCEPT_READY_FOR_HUMAN_SIGNOFF,LOW,0.912,none,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: none; predicate aliases normalized: no."
S021,S021_CMOC2,Students selfexplanations while solving unfamiliar cases: the role of biomedical knowledge,2013,10.1111/medu.12253,EBSCO-FullText-01_02_2026.pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026.pdf.txt,Full-text,38372,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E15,explicit and clear explanation of expert's reasoning,E27,build understanding,E25,high diagnostic accuracy,E15-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,C: Students provided more self-explanation segments from less familiar cases. | I: Self-explanation while diagnosing cases improved diagnostic performance. | M: Students engage in more extensive thinking during self-explanation. | O: Self-explanation improved diagnostic performance on new cases.,not_found,not_found,not_found,exact,0.518,E02,E15,E27,E25,E15-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,PTS1,AI_DRAFT_REVIEW_REQUIRED,HIGH,0.831,weak_quote_support,"AI-assisted draft, not final human gold. Evidence support 1/4; chain issues: none; predicate aliases normalized: no."
S022,S022_CMOC1,To what extent does nonanalytic reasoning contribute to visual learning in cytopathology?,2013,10.1002/cncy.21263,Cancer Cytopathology - 2013 - Evered - To what extent does nonanalytic reasoning contribute to visu.pdf,d:\LLM-Knowledge-Graph\graphrag\input\Cancer Cytopathology - 2013 - Evered - To what extent does nonanalytic reasoning contribute to visu.pdf.txt,Full-text,45623,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E09,teaching resources that allow them to make mistakes,E27,build understanding,E25,high diagnostic accuracy,E09-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,C: Forty-nine cytology novice participants undertook an initial image interpretation test to obtain baseline diagnostic accuracy. | I: the remaining 25 participants were simply shown 20 nonannotated paired images of normal and abnormal cervical cells. | M: Encouraging trainees to adopt pattern recognition strategies may help to expedite the acquisition of visual interpretation skills. | O: Diagnostic accuracy in both groups improved significantly between tests 1 and 2.,partial_8_word,exact,exact,exact,0.938,E02,E09,E27,E25,E09-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,PTS1,AI_DRAFT_REVIEW_REQUIRED,MEDIUM,0.828,pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: intervention:E09_not_in_E07/E15/E18; predicate aliases normalized: no."
S022,S022_CMOC2,To what extent does nonanalytic reasoning contribute to visual learning in cytopathology?,2013,10.1002/cncy.21263,Cancer Cytopathology - 2013 - Evered - To what extent does nonanalytic reasoning contribute to visu.pdf,d:\LLM-Knowledge-Graph\graphrag\input\Cancer Cytopathology - 2013 - Evered - To what extent does nonanalytic reasoning contribute to visu.pdf.txt,Full-text,45623,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E08,instructed to use analytical reasoning alone,E45,confusion,E38,negative learning outcomes,E08-[PROVIDES]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E38,C: the speed of response to test images was generally faster under nonanalytic than under analytic conditions. | I: both groups were instructed to adopt a combined analytic/nonanalytic diagnostic strategy. | M: combining analytic and non-analytic reasoning do not appear to be effective. | O: decreased between tests 2 and 3.,partial_8_word,exact,exact,exact,0.938,E05,E08,E45,E38,E08-[PROVIDES]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E38,PTS4,AI_DRAFT_REVIEW_REQUIRED,MEDIUM,0.828,pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: intervention:E08_not_in_E09/E10/E14; predicate aliases normalized: no."
